date,ticker,call_volume,call_ratio,open,low,high,close,volume
2021-03-08,AAPL,1229656,0.5782918149466192,120.93,116.209999,121.0,116.360001,154376600.0
2021-03-09,AAPL,774465,3.357156230430039,119.029999,118.790001,122.059998,121.089996,129525800.0
2021-03-10,AAPL,447447,3.9110777365810923,121.690002,119.449997,122.16999799999999,119.980003,111943300.0
2021-03-11,AAPL,577996,1.730115779347954,122.540001,121.260002,123.209999,121.959999,103026500.0
2021-03-12,AAPL,884787,0.5651077603988305,120.400002,119.160004,121.16999799999999,121.029999,88105100.0
2021-03-15,AAPL,778816,1.0272002629632673,121.410004,120.41999799999999,124.0,123.989998,92403800.0
2021-03-16,AAPL,1398777,1.8768538516146607,125.699997,124.720001,127.220001,125.57,115227900.0
2021-03-17,AAPL,978950,0.30645078911078194,124.050003,122.339996,125.860001,124.760002,111932600.0
2021-03-18,AAPL,1041143,2.7229688909208436,122.879997,120.32,123.18,120.529999,121229700.0
2021-03-19,AAPL,1123895,2.2817967870664075,119.900002,119.68,121.43,119.989998,185549500.0
